nucleoside	monoisotopic_mass
A	267.09675
G	283.09167
C	243.08552
U	244.06954
1A	281.1124
2A	281.1124
0A	281.1124
8A	281.1124
6A	281.1124
19A	282.0964
09A	282.0964
67A	295.0917
01A	295.1281
28A	295.1281
06A	295.1281
66A	295.1281
019A	296.1121
68A	297.1073
64A	309.1073
066A	309.1437
621A	327.1001
61A	335.1594
60A	351.1543
65A	368.108
2161A	381.1471
69A	394.1237
2160A	397.142
62A	412.1343
63A	426.1499
662A	426.1499
2165A	428.1292
2164A	440.1114
2162A	458.122
2163A	472.1376
00A	479.1053
1G	297.1073
0G	297.1073
2G	297.1073
7G	299.123
01G	311.123
02G	311.123
22G	311.123
27G	313.1386
4G	321.1073
022G	325.1386
027G	327.1543
227G	327.1543
42G	335.123
34G	335.123
342G	349.1386
47G	422.155
347G	436.1706
348G	450.1863
3470G	452.1655
3480G	466.1812
00G	495.1003
3483G	508.1918
34830G	524.1867
34832G	540.1816
100G	307.0917
101G	311.123
103G	324.1182
10G	409.1597
102G	425.1547
105G	538.2023
104G	571.2126
106G	571.2126
001C	245.081184
002U	316.12705094
003U	246.06519959
004C	315.14303535
02U	274.06234252
03U	272.1008362
042C	299.11173523
044C	285.13247067
04C	271.11682061
051U	345.11721453
0521U	330.1063155
0522U	346.10123012
053U	315.10664985
0583U	355.17433547
05C	271.11682061
05U	272.1008362
071C	285.09608517
09U	258.08518614
0C	257.10117055
0U	258.08518614
1309U	359.13286459
19U	258.08518614
20510U	336.07297055
20511U	350.08862061
2051U	273.09608517
20C	352.17332714
20U	307.04642146
21511U	439.21409209
2151U	483.20392133
21C	371.18048347
21U	396.17189294
2510U	289.07324155
2511U	303.08889161
251U	347.07872085
2521U	332.06782182
253U	317.06815617
2540U	318.05217176
254U	397.06135653
2583U	357.13584179
2C	259.06267687
2U	260.04669246
308U	347.13286459
309U	345.11721453
30U	345.11721453
39U	258.08518614
3C	257.10117055
3U	258.08518614
42C	285.09608517
44C	271.11682061
4C	257.10117055
501U	274.08010076
502U	318.06993
503U	332.08558006
50C	259.08043511
50U	260.0644507
510U	273.09608517
511U	287.11173523
51C	273.09608517
51U	331.10156447
520U	318.06993
521U	316.09066544
522U	332.08558006
52U	302.07501538
531U	317.08591441
53U	301.09099979
54U	381.08420015
55U	283.08043511
583U	341.15868541
58U	260.1008362
5C	257.10117055
5U	258.08518614
71C	271.08043511
74U	260.04669246
8U	246.08518614
9U	244.06953608
0503U	346.10123012
051C	273.09608517
21510U	425.19844
